rank,word,frequency,cumulative_coverage_percent
1,i,1224,3.5518
2,part,1022,6.5175
3,join,1021,9.4803
4,lol,822,11.8656
5,you,686,13.8562
6,to,665,15.786
7,the,660,17.7012
8,hi,656,19.6048
9,a,580,21.2878
10,me,428,22.5298
11,is,380,23.6325
12,in,364,24.6888
13,and,357,25.7247
14,it,355,26.7549
15,action,347,27.7618
16,hey,292,28.6092
17,that,284,29.4333
18,my,259,30.1848
19,of,207,30.7855
20,u,204,31.3775
21,what,201,31.9608
22,on,189,32.5092
23,for,189,33.0577
24,here,185,33.5945
25,are,181,34.1197
26,do,181,34.645
27,no,181,35.1702
28,not,179,35.6896
29,have,171,36.1858
30,all,168,36.6733
31,up,161,37.1405
32,like,160,37.6048
33,with,154,38.0517
34,im,149,38.4841
35,pm,149,38.9165
36,chat,146,39.3401
37,n't,144,39.758
38,so,143,40.1729
39,your,142,40.585
40,was,142,40.9971
41,how,138,41.3975
42,good,132,41.7806
43,any,129,42.1549
44,lmao,128,42.5263
45,just,128,42.8978
46,too,127,43.2663
47,there,121,43.6174
48,out,111,43.9395
49,wanna,110,44.2587
50,if,109,44.575
51,be,108,44.8884
52,can,107,45.1989
53,ok,106,45.5065
54,who,106,45.8141
55,know,104,46.1159
56,get,104,46.4177
57,room,103,46.7166
58,ya,100,47.0068
59,at,100,47.2969
60,am,99,47.5842
61,this,98,47.8686
62,but,97,48.1501
63,from,96,48.4287
64,wb,96,48.7072
65,oh,96,48.9858
66,did,93,49.2557
67,or,92,49.5226
68,hello,92,49.7896
69,well,91,50.0537
70,one,91,50.3178
71,he,90,50.5789
72,now,88,50.8343
73,yes,87,51.0867
74,m,86,51.3363
75,yeah,85,51.5829
76,hiya,85,51.8296
77,they,84,52.0734
78,back,79,52.3026
79,see,78,52.5289
80,go,77,52.7524
81,dont,77,52.9758
82,her,72,53.1848
83,about,72,53.3937
84,ty,72,53.6026
85,want,71,53.8087
86,its,69,54.0089
87,got,68,54.2062
88,everyone,67,54.4006
89,we,67,54.595
90,where,66,54.7866
91,why,65,54.9752
92,love,63,55.158
93,anyone,62,55.3379
94,as,61,55.5149
95,an,59,55.6861
96,guys,59,55.8573
97,some,59,56.0286
98,talk,58,56.1969
99,been,58,56.3652
100,thanks,57,56.5306
101,would,55,56.6902
102,right,55,56.8498
103,think,55,57.0094
104,nice,54,57.1661
105,when,54,57.3228
106,o,54,57.4795
107,she,53,57.6333
108,time,52,57.7842
109,f,50,57.9293
110,girls,50,58.0743
111,had,50,58.2194
112,off,47,58.3558
113,haha,46,58.4893
114,bye,46,58.6228
115,thats,46,58.7563
116,welcome,46,58.8898
117,girl,45,59.0203
118,never,45,59.1509
119,make,44,59.2786
120,need,44,59.4063
121,whats,43,59.5311
122,really,43,59.6558
123,night,43,59.7806
124,people,43,59.9054
125,will,42,60.0273
126,has,42,60.1492
127,song,42,60.271
128,mode,42,60.3929
129,him,41,60.5119
130,then,41,60.6309
131,much,40,60.7469
132,over,40,60.863
133,man,39,60.9762
134,were,39,61.0893
135,take,38,61.1996
136,hot,38,61.3099
137,does,38,61.4202
138,his,38,61.5304
139,work,38,61.6407
140,even,37,61.7481
141,gonna,37,61.8554
142,omg,36,61.9599
143,only,36,62.0644
144,say,36,62.1688
145,damn,36,62.2733
146,seen,36,62.3778
147,come,36,62.4822
148,s,35,62.5838
149,more,35,62.6854
150,still,34,62.784
151,nick,33,62.8798
152,brb,33,62.9755
153,day,33,63.0713
154,gay,31,63.1613
155,sorry,31,63.2512
156,something,31,63.3412
157,r,30,63.4282
158,long,30,63.5153
159,should,29,63.5994
160,hell,29,63.6836
161,wow,29,63.7677
162,someone,29,63.8519
163,last,29,63.936
164,today,29,64.0202
165,tell,29,64.1043
166,name,28,64.1856
167,didnt,28,64.2669
168,away,28,64.3481
169,ladies,28,64.4294
170,sure,28,64.5106
171,going,28,64.5919
