word,frequency,geometric_midpoint_target
him,41,34.9857
then,41,34.9857
much,40,34.9857
over,40,34.9857
man,39,34.9857
were,39,34.9857
does,38,34.9857
his,38,34.9857
hot,38,34.9857
take,38,34.9857
work,38,34.9857
even,37,34.9857
gonna,37,34.9857
come,36,34.9857
damn,36,34.9857
omg,36,34.9857
only,36,34.9857
say,36,34.9857
seen,36,34.9857
more,35,34.9857
s,35,34.9857
still,34,34.9857
brb,33,34.9857
day,33,34.9857
nick,33,34.9857
gay,31,34.9857
something,31,34.9857
sorry,31,34.9857
long,30,34.9857
r,30,34.9857
