modal,post_number,occurrences_in_post,words,characters
will,93,1,2,9
can,124,1,15,61
can,216,1,7,33
can,234,1,5,20
can,241,1,7,31
can,275,1,7,24
could,355,1,11,50
can,393,1,8,49
can,424,2,20,99
can,474,1,4,19
may,499,1,5,22
will,656,1,6,37
can,733,1,4,22
must,768,1,9,53
can,843,1,5,17
can,919,1,11,62
can,995,1,6,27
can,1015,1,12,57
must,1092,1,4,22
can,1123,1,26,116
will,1316,1,6,39
can,1332,1,9,42
may,1354,1,7,35
may,1462,1,9,39
will,1464,1,6,36
could,1470,1,5,25
can,1531,1,5,25
can,1692,1,17,77
may,1734,1,12,67
can,1800,1,13,91
must,1871,1,5,22
will,2002,1,4,26
will,2032,1,10,62
will,2052,1,11,59
can,2055,1,10,57
will,2083,1,5,17
can,2098,1,23,202
can,2199,1,7,29
might,2292,1,18,78
will,2299,1,11,48
could,2359,1,6,28
can,2425,1,23,101
can,2455,1,6,25
can,2596,1,11,53
may,2608,1,2,8
may,2620,1,2,8
can,2635,1,8,31
will,2649,1,5,25
can,2901,1,12,54
will,2969,1,2,8
must,2985,1,16,82
might,3036,1,7,38
could,3046,1,2,14
might,3058,1,5,28
may,3076,1,4,15
can,3088,1,4,17
will,3123,1,13,73
will,3134,1,6,30
will,3295,1,9,56
can,3349,1,5,21
will,3365,1,20,92
can,3365,1,20,92
can,3367,1,5,22
may,3379,1,16,75
will,3491,1,5,32
will,3499,1,4,19
can,3606,1,9,43
might,3654,1,16,89
can,3684,1,20,96
can,3694,1,6,29
could,3695,1,3,14
can,3712,1,19,107
could,3722,1,7,39
must,3728,1,8,37
could,3730,1,2,17
can,3753,1,6,30
will,4018,1,12,67
can,4050,1,3,13
can,4107,1,19,86
can,4126,1,18,85
can,4138,1,11,67
can,4139,1,6,31
can,4154,1,5,40
can,4160,1,5,27
can,4190,1,6,25
can,4216,1,23,202
can,4256,1,7,40
can,4368,1,9,40
can,4377,1,4,26
can,4483,1,14,68
could,4526,1,6,29
can,4533,1,4,15
can,4543,1,4,14
may,4564,1,5,23
can,4566,1,16,78
can,4622,1,8,33
can,4645,1,6,25
can,4711,1,11,57
will,4798,1,11,59
can,4826,1,7,38
can,4859,1,15,64
can,4921,1,19,90
can,4938,1,11,61
will,4979,1,4,24
could,5081,1,9,50
can,5093,1,5,23
will,5101,1,6,37
must,5109,1,7,47
will,5272,1,10,49
can,5290,1,7,27
can,5317,1,7,35
can,5340,1,20,98
can,5379,1,6,29
will,5413,1,4,23
may,5493,1,4,29
must,5547,1,10,54
will,5594,1,7,27
will,5604,1,27,139
can,5665,1,9,40
will,5700,1,13,59
can,5724,1,5,15
will,5840,1,7,39
must,5889,1,16,85
must,5911,1,11,94
could,6082,1,21,100
will,6258,1,7,35
can,6303,1,7,30
must,6330,1,9,55
can,6334,1,23,157
may,6350,1,4,17
can,6391,1,4,19
can,6406,2,30,147
could,6422,1,24,149
will,6442,1,7,47
can,6447,1,13,66
will,6456,1,12,46
can,6476,1,16,68
might,6497,1,3,13
will,6549,1,10,41
can,6596,1,11,52
could,7072,1,4,18
can,7137,1,12,52
can,7236,1,14,60
can,7387,1,4,20
will,7397,1,19,90
can,7397,1,19,90
will,7399,1,6,34
can,7413,1,15,76
must,7454,4,16,90
may,7458,1,5,28
can,7579,1,4,15
will,7616,1,4,12
can,7688,1,5,19
could,7772,1,38,223
can,7784,1,3,10
will,7795,1,72,448
can,7804,1,9,43
will,7921,1,6,37
must,7925,1,5,39
could,8062,1,10,51
can,8106,1,14,70
can,8152,1,10,56
may,8225,1,14,59
can,8231,1,28,167
can,8281,1,6,31
can,8301,1,7,34
will,8311,1,12,53
can,8436,1,7,30
could,8498,1,13,65
might,8700,1,8,45
could,8708,1,8,43
will,8716,1,6,37
can,8730,1,7,47
can,8794,1,9,40
could,8817,1,17,79
could,8902,1,12,67
can,8915,1,4,17
must,8983,1,6,29
can,9003,2,14,61
can,9073,1,14,78
can,9074,1,20,102
can,9158,1,23,202
must,9252,1,4,24
will,9266,1,12,69
can,9343,1,10,54
can,9393,1,12,56
can,9441,1,9,36
can,9479,1,7,35
can,9503,1,4,14
will,9512,1,7,32
could,9556,1,5,32
can,9563,1,12,65
could,9580,1,19,120
may,9641,1,6,25
could,9746,1,7,32
can,9886,1,9,42
can,10015,1,5,32
must,10034,1,12,47
will,10105,1,65,290
must,10197,1,8,45
will,10214,1,2,6
can,10358,1,13,52
can,10366,1,5,26
