sentence_number,stopword_count,word_length,character_length
1,6,22,158
2,20,36,239
3,12,28,223
4,15,29,185
5,9,21,134
6,11,21,134
7,17,39,251
8,0,2,15
9,9,22,148
10,7,20,140
11,5,11,64
12,4,13,92
13,11,24,156
14,7,23,140
15,25,52,316
16,8,20,137
17,9,20,134
18,7,14,95
19,17,32,206
20,0,2,15
21,11,29,200
22,13,29,187
23,10,26,209
24,17,29,189
25,0,3,17
26,4,7,52
27,11,27,161
28,0,0,5
29,9,25,170
30,10,30,216
31,4,18,128
32,1,5,37
33,2,4,38
34,6,12,87
35,6,14,88
36,6,12,80
37,6,12,69
38,11,19,95
39,3,7,48
40,5,11,68
41,5,13,91
42,5,12,72
43,2,7,51
44,13,25,159
45,6,19,135
46,4,20,138
47,13,32,198
48,14,32,197
49,8,17,111
50,14,25,127
51,12,29,162
52,12,29,172
53,9,20,118
54,2,16,131
55,4,8,56
56,11,18,102
57,6,15,105
58,12,25,152
59,14,30,189
60,7,16,106
61,6,19,125
62,0,2,18
63,9,23,151
64,20,41,219
65,10,28,170
66,1,3,16
67,13,34,193
68,13,29,191
69,10,25,157
70,11,28,178
71,17,38,229
72,11,27,182
73,6,11,61
74,11,18,98
75,7,24,165
76,9,25,156
77,12,31,206
78,16,29,183
79,7,15,96
80,6,15,98
81,13,29,181
82,0,1,8
83,12,28,175
84,8,27,190
85,2,9,70
86,6,15,87
87,4,14,97
88,7,10,53
89,10,15,74
90,6,11,65
91,5,14,94
92,10,27,174
93,4,14,113
94,7,16,105
95,12,27,160
96,2,11,71
97,1,7,54
98,4,6,37
99,0,2,14
100,3,18,145
101,15,33,212
102,5,12,78
103,9,21,140
104,10,30,208
105,12,26,152
106,10,22,129
107,9,26,181
108,8,18,114
109,12,35,247
110,8,14,86
111,4,9,60
112,13,30,196
113,8,24,163
114,5,15,105
115,9,20,117
116,0,2,14
117,10,27,187
118,11,23,127
119,9,14,67
120,19,46,300
121,16,40,262
122,12,28,161
123,5,18,115
124,12,28,173
125,4,13,93
126,10,18,102
127,5,9,51
128,7,15,100
129,8,24,151
130,8,23,148
131,8,20,126
132,1,6,40
133,2,8,64
134,9,23,157
135,11,27,183
136,13,25,138
137,1,6,36
138,12,29,185
139,9,25,156
140,7,13,72
141,14,32,208
142,10,31,192
143,11,32,223
144,12,31,199
145,0,2,14
146,6,18,114
147,13,28,164
148,9,20,121
149,10,22,133
150,9,22,158
151,8,21,142
152,4,12,81
153,0,2,14
154,3,11,75
155,14,40,243
156,13,25,162
157,7,12,75
158,7,18,119
159,10,30,175
160,15,33,198
161,7,27,189
162,3,8,48
163,2,7,41
164,2,7,48
165,0,2,14
166,6,19,140
167,9,31,234
168,3,9,54
169,7,19,130
170,5,11,78
171,13,30,186
172,6,12,74
173,5,10,96
174,0,2,21
175,7,20,131
176,7,15,101
177,5,13,86
178,10,24,157
179,5,15,109
180,8,16,103
181,17,41,275
182,10,16,82
183,0,2,22
184,10,21,175
185,12,29,195
186,9,34,205
187,7,20,145
188,0,3,24
189,9,25,179
190,7,18,114
191,12,30,202
192,7,16,103
193,1,3,19
194,4,7,49
195,11,24,145
196,7,15,99
197,9,28,189
198,13,31,202
199,6,18,117
200,7,12,76
201,0,3,25
202,5,13,86
203,6,13,92
204,10,19,117
205,8,18,123
206,1,5,42
207,12,16,93
208,4,7,45
209,0,2,20
210,14,37,236
211,18,37,206
212,10,30,198
213,1,3,18
214,5,21,138
215,17,44,292
216,12,30,219
217,9,20,126
218,6,13,82
219,3,7,50
220,10,17,85
221,5,15,128
222,0,3,20
223,16,37,245
224,6,17,133
225,4,10,68
226,8,20,121
227,6,13,86
228,22,48,279
229,0,3,17
230,4,12,77
231,13,28,173
232,17,28,204
233,12,21,123
234,3,7,44
235,0,3,24
236,12,30,192
237,0,1,19
238,14,44,299
239,13,42,270
240,7,20,110
241,3,7,39
242,3,5,21
243,14,26,137
244,9,23,132
245,8,21,120
246,5,14,91
247,16,37,217
248,0,3,22
249,11,30,187
250,2,8,45
251,7,20,127
252,6,11,62
253,0,3,17
254,9,20,131
255,13,29,155
256,0,0,1
257,6,15,91
258,15,30,185
259,0,0,1
260,5,13,88
261,0,0,1
262,5,12,73
263,7,23,129
264,0,3,21
265,26,45,267
266,13,29,215
267,5,8,49
268,7,15,90
269,4,9,57
